COVID-19 Vaccinations Equity
Date generated: Sat Mar 12 2022 13:29:15 GMT-0500 (北美东部标准时间)
County,State,SVI,County of Residence Reporting Completeness,Percent of total population fully vaccinated,Percent of 5+ pop fully vaccinated,Percent of 12+ pop fully vaccinated,Percent of 18+ pop fully vaccinated,Percent of 65+ pop fully vaccinated
Wilkinson County,MS ,High,98.1,64.8,68.4,72.6,73.9,95
Winston County,MS ,High,98.1,47.5,50.3,54.9,57.8,78.5
Yalobusha County,MS ,Mod-High,98.1,64.8,69.1,74.9,78.7,95
Yazoo County,MS ,High,98.1,48.8,51.5,54.9,56.1,84.1
Adair County,MO ,Low-Mod,91.3,44.5,46.9,49.3,50.7,77.4
Andrew County,MO ,Low,91.3,37.8,40.2,43.7,46.1,58.5
Atchison County,MO ,Low,91.3,55.7,58.6,62.9,65.8,82
Audrain County,MO ,Mod-High,91.3,37.6,40.1,43.3,45.6,73.2
Barry County,MO ,Mod-High,91.3,44.1,46.9,51,53.4,70.9
Barton County,MO ,Mod-High,91.3,32.9,35,38.3,41.2,60.3
Bates County,MO ,Low-Mod,91.3,38.5,40.9,44.6,47.2,68.7
Benton County,MO ,Mod-High,91.3,47.3,49.6,52.9,55.1,71.6
Bollinger County,MO ,Low-Mod,91.3,32.8,34.6,37.7,39.9,59.2
Boone County,MO ,Low-Mod,91.3,61.2,64.9,68,68.7,90.9
Buchanan County,MO ,Mod-High,91.3,38.2,40.7,43.9,45.7,57.7
Butler County,MO ,High,91.3,34.1,36.3,40,42.4,61.3
Caldwell County,MO ,Low-Mod,91.3,38.9,41.2,44.9,47.5,69.1
Callaway County,MO ,Low-Mod,91.3,46.9,49.7,53.2,55.1,76.9
Camden County,MO ,Low-Mod,91.3,45.1,47.2,50.3,52.3,67.5
Cape Girardeau County,MO ,Low-Mod,91.3,48.5,51.4,55.5,57.6,83.2
Carroll County,MO ,Mod-High,91.3,48.8,51.5,56.6,60.9,85.6
Carter County,MO ,Mod-High,91.3,32.2,34.4,37.8,40.1,60.5
Cass County,MO ,Low,91.3,51.3,54.5,58.8,60.6,78.4
Cedar County,MO ,Mod-High,91.3,31.8,34.1,37.4,40.3,58.5
Chariton County,MO ,Low,91.3,37.5,39.9,44,46.8,59.4
Christian County,MO ,Low,91.3,45.7,48.7,53.3,55.3,77.2
Clark County,MO ,Low-Mod,91.3,30.8,32.7,35.7,37.9,53.6
Clay County,MO ,Low,91.3,53.5,57.1,60.6,61.2,80.6
Clinton County,MO ,Low,91.3,46.9,49.7,53.5,55.9,73.7
Cole County,MO ,Low-Mod,91.3,52.2,55.5,59.6,61.7,85
Cooper County,MO ,Low-Mod,91.3,44.1,46.8,50.1,51.7,74.1
Crawford County,MO ,High,91.3,33.2,35.2,38.3,40.5,58
Dade County,MO ,Mod-High,91.3,43,45.2,49,51.9,72.6
Dallas County,MO ,Mod-High,91.3,34.7,37.2,40.8,43.5,66.2
Daviess County,MO ,Low-Mod,91.3,32.8,35.3,38.5,41.2,53.3
DeKalb County,MO ,Low-Mod,91.3,27.8,29.2,31.2,32.3,55.7
Dent County,MO ,Mod-High,91.3,33.8,35.9,39.2,40.9,52.4
Douglas County,MO ,Mod-High,91.3,24,25.4,27.8,29.6,41.4
Dunklin County,MO ,High,91.3,36.8,39.5,44.2,46.7,60.4
Franklin County,MO ,Low,91.3,53.9,57.3,61.8,64.3,89.9
Gasconade County,MO ,Low,91.3,50.4,53.3,57.6,60.2,85.1
Gentry County,MO ,Low-Mod,91.3,43.1,46.5,51.5,53.8,76.9
Greene County,MO ,Low-Mod,91.3,48.9,51.9,55.2,56.2,80.1
Grundy County,MO ,Mod-High,91.3,35,37.7,41.6,44,62.1
Harrison County,MO ,Mod-High,91.3,33.7,35.9,39.4,42.4,61.7
Henry County,MO ,Mod-High,91.3,45.6,48.4,52.3,54.5,74.1
Hickory County,MO ,Low-Mod,91.3,37.9,39.6,42.2,44.6,60.6
Holt County,MO ,Low,91.3,41.4,43.6,47.1,49.8,66.4
Howard County,MO ,Low-Mod,91.3,42.9,45.5,49.4,51.6,73.4
Howell County,MO ,Mod-High,91.3,32.9,35.2,38.6,40.4,56.3
Iron County,MO ,High,91.3,38.4,40.6,43.8,46.5,66.5
Jackson County,MO ,Mod-High,91.3,56.5,60.4,64.4,65.6,83.8
Jasper County,MO ,Mod-High,91.3,47,50.3,55.1,57.4,81.3
Jefferson County,MO ,Low,91.3,44.3,47.1,50.7,52.4,72.6
Johnson County,MO ,Low-Mod,91.3,41.4,44.2,47.7,48.7,67.5
Knox County,MO ,Mod-High,91.3,39.3,42,45.7,48.2,69.9
Laclede County,MO ,Mod-High,91.3,37.2,40,44.1,46.8,71
Lafayette County,MO ,Low-Mod,91.3,45.4,48.2,52.2,54.6,75.4
Lawrence County,MO ,High,91.3,37.6,40.3,44.4,47.1,66.5
Lewis County,MO ,Low-Mod,91.3,33.7,35.8,39.1,41.9,72.2
Lincoln County,MO ,Low-Mod,91.3,38.7,41.7,45.8,48.1,75
Linn County,MO ,Low-Mod,91.3,45.6,48.4,52.9,56.6,79.6
Livingston County,MO ,Low-Mod,91.3,42.7,45.3,49.2,51.8,76.9
Macon County,MO ,Mod-High,91.3,39.8,42.3,46.1,49.2,68.7
Madison County,MO ,Low-Mod,91.3,39.2,41.6,45.6,48.3,68.2
Maries County,MO ,Mod-High,91.3,43.6,45.6,49.3,51.3,65.7
Marion County,MO ,Mod-High,91.3,41.5,44.3,48.3,50.9,80.8
McDonald County,MO ,High,91.3,32.7,35.3,38.8,40.8,51
Mercer County,MO ,Low-Mod,91.3,35.3,37.9,41.4,44.8,60.2
Miller County,MO ,Mod-High,91.3,33.2,35.4,38.8,41.1,58.3
Mississippi County,MO ,High,91.3,42.8,45.2,49.1,52,74.4
Moniteau County,MO ,Mod-High,91.3,35.6,38.1,41.7,43.2,70.7
Monroe County,MO ,Low-Mod,91.3,44,46.4,50.7,54,76
Montgomery County,MO ,Mod-High,91.3,48.2,51.1,55.1,58.5,83.8
Morgan County,MO ,Mod-High,91.3,36.5,39.1,42.9,45.9,72.7
New Madrid County,MO ,High,91.3,33.2,35.4,38.9,41.3,58.7
Newton County,MO ,Low-Mod,91.3,25.6,27.3,29.8,31.3,42.1
Nodaway County,MO ,Low,91.3,48.7,50.9,53.1,53.9,89.4
Oregon County,MO ,Low-Mod,91.3,30.9,32.8,35.9,37.8,48.8
Osage County,MO ,Low,91.3,39.5,41.9,45.4,47.6,69.2
Ozark County,MO ,Mod-High,91.3,31.1,32.6,35,37.4,48.1
Pemiscot County,MO ,High,91.3,31,33.4,37.1,39.9,55.8
Perry County,MO ,Low,91.3,39.4,41.8,45.6,48.8,73.2
Pettis County,MO ,High,91.3,42.3,45.4,49.9,52.7,70.8
Phelps County,MO ,Mod-High,91.3,43.3,45.9,49.2,50.6,69.9
Pike County,MO ,Mod-High,91.3,37.1,39.4,43.1,45.6,72.3
Platte County,MO ,Low,91.3,56.3,60,63.2,63.7,80.4
Polk County,MO ,Mod-High,91.3,38.7,41.2,44.5,46.6,72
Pulaski County,MO ,Mod-High,91.3,50.4,54,58.7,60.4,75.1
Putnam County,MO ,Mod-High,91.3,33,35.2,38.6,41.4,58.4
Ralls County,MO ,Low,91.3,28.1,29.6,32.1,33.9,51.1
Randolph County,MO ,Mod-High,91.3,37.7,40,43.3,45.6,70.4
Ray County,MO ,Low-Mod,91.3,39.5,41.9,45.3,47.2,61.3
Reynolds County,MO ,Mod-High,91.3,26.8,28.1,30.4,32.2,41
Ripley County,MO ,Mod-High,91.3,29,30.8,34.2,36.3,56.6
Saline County,MO ,High,91.3,46.2,48.9,53.3,55.7,75.3
Schuyler County,MO ,Low-Mod,91.3,25.9,28.3,31.3,33.7,55.4
Scotland County,MO ,Mod-High,91.3,26.1,28.4,32.2,34.5,56.5
Scott County,MO ,High,91.3,43.2,46.2,51,54.4,82
Shannon County,MO ,Mod-High,91.3,30.3,32.1,35,37.3,49.9
Shelby County,MO ,Low-Mod,91.3,46.6,49.9,54.8,58.6,84
St. Charles County,MO ,Low,91.3,60.8,64.5,68.5,70.2,88.9
St. Clair County,MO ,Low-Mod,91.3,34.2,36.2,38.6,40.8,54.5
St. Francois County,MO ,Mod-High,91.3,43.2,45.6,49.3,51.7,72
St. Louis City,MO ,High,91.3,57.8,61.5,64.4,64.7,70.6
St. Louis County,MO ,Low-Mod,91.3,63.2,67.2,70.5,71.3,87.4
Ste. Genevieve County,MO ,Low,91.3,44.7,47.3,51.3,54.2,76
Stoddard County,MO ,Low-Mod,91.3,39.4,41.7,45.5,48.1,69.3
Stone County,MO ,Low-Mod,91.3,37.3,38.8,41.1,42.7,54.8
Sullivan County,MO ,Mod-High,91.3,42.4,45.3,49.3,52.2,69.6
Taney County,MO ,High,91.3,40.2,42.5,45.8,47.5,61.4
Texas County,MO ,High,91.3,32.5,34.5,37.5,39.5,53.8
Vernon County,MO ,Low-Mod,91.3,34.7,37,40.5,42.9,60.3
Warren County,MO ,Low-Mod,91.3,41.4,44.3,48.1,50.3,73.2
Washington County,MO ,High,91.3,31.5,33.4,36.4,38.6,52.4
Wayne County,MO ,High,91.3,36,37.9,41.2,43.7,63.8
Webster County,MO ,Mod-High,91.3,42.1,45.5,50.5,53.8,80
Worth County,MO ,Low,91.3,40.6,42.8,46.5,49.2,70.3
Wright County,MO ,High,91.3,35.4,38.2,42.2,45.7,69.9
Beaverhead County,MT ,Low-Mod,95.8,53.8,56.2,59.2,60.8,88.6
Big Horn County,MT ,High,95.8,88.2,95,95,95,95
Blaine County,MT ,High,95.8,84.9,92.2,95,95,95
Broadwater County,MT ,Low,95.8,33.4,35.2,37.8,40,63.7
Carbon County,MT ,Low,95.8,46.8,48.6,51.4,53.8,69.8
Carter County,MT ,Low,95.8,30.6,33.1,35.9,37.7,60.6
Cascade County,MT ,Low-Mod,95.8,54,57.7,62.4,64.6,83.4
Chouteau County,MT ,Low-Mod,95.8,32.9,34.6,36.8,38.7,59.6
Custer County,MT ,Low-Mod,95.8,43.6,46.3,49.7,52.3,76.2
Daniels County,MT ,Low,95.8,42.1,44.2,47.9,50.4,61.1
Dawson County,MT ,Low,95.8,37.4,39.6,43.2,46.3,72.2
Deer Lodge County,MT ,Low-Mod,95.8,57.8,59.8,61.2,61,85.8
Fallon County,MT ,Low,95.8,34.2,36.7,40.8,44.1,72.5
Fergus County,MT ,Low,95.8,46.7,49.3,53,55.6,80.3
Flathead County,MT ,Low,95.8,42.1,44.6,47.7,49.5,68.5
Gallatin County,MT ,Low,95.8,58.7,62.1,65.3,66.7,89.3
Garfield County,MT ,Low,95.8,19.3,20.6,22.5,24.6,42.2
Glacier County,MT ,High,95.8,84.3,92.5,95,95,95
Golden Valley County,MT ,Low,95.8,45.9,48.9,53.6,56.4,84.2
Granite County,MT ,Low,95.8,36.6,37.9,39.8,41.3,48.2
Hill County,MT ,Mod-High,95.8,70,76.9,80.4,80,93.3
Jefferson County,MT ,Low,95.8,50,52.5,55.7,57.7,79.7
Judith Basin County,MT ,Low,95.8,39.3,41.3,44.7,48.2,70.8
Lake County,MT ,Mod-High,95.8,56,59.4,64.5,67.5,95
Lewis and Clark County,MT ,Low,95.8,58.9,62.5,66.2,67.9,87.8
Liberty County,MT ,Low-Mod,95.8,33.7,35.5,38.6,40.2,62.6
Lincoln County,MT ,Low-Mod,95.8,34.8,36.3,38.7,40.6,56.1
Madison County,MT ,Low,95.8,44.2,45.8,48.4,50.3,68.5
McCone County,MT ,Low,95.8,17.8,18.8,20.3,21.6,30.6
Meagher County,MT ,Low,95.8,50.3,52.8,56.4,59.1,63.8
Mineral County,MT ,Mod-High,95.8,53.8,56.6,59.7,61.9,76.8
Missoula County,MT ,Low,95.8,64.1,67.5,70,70.8,90.3
Musselshell County,MT ,Low-Mod,95.8,34.5,36.2,38.6,40.7,57
Park County,MT ,Low,95.8,58.2,60.9,64.2,65.8,74
Petroleum County,MT ,Low,95.8,30.4,31.3,33.7,35.8,64
Phillips County,MT ,Low-Mod,95.8,43.7,46.7,51.1,53.7,74.8
Pondera County,MT ,High,95.8,54.3,58.7,63.2,64.8,83.5
Powder River County,MT ,Low,95.8,22.5,23.8,24.8,26.4,41.2
Powell County,MT ,Low-Mod,95.8,44.9,46.8,49.3,50.9,76.6
Prairie County,MT ,Low,95.8,37.8,40.2,43.1,44.1,57.6
Ravalli County,MT ,Low,95.8,48.3,50.6,53.7,55.9,76.3
Richland County,MT ,Low,95.8,39.4,42.1,46.8,50,82.3
Roosevelt County,MT ,High,95.8,71.9,79.8,89.6,91.9,95
Rosebud County,MT ,Mod-High,95.8,83.9,91.4,95,95,95
Sanders County,MT ,Low-Mod,95.8,38.1,39.9,42.6,44.7,60.3
Sheridan County,MT ,Low,95.8,48.2,51.2,55.3,58.3,91.4
Silver Bow County,MT ,Mod-High,95.8,61,64.6,68.5,69.3,89.6
Stillwater County,MT ,Low,95.8,41.7,43.6,47.3,51.1,76.9
Sweet Grass County,MT ,Low,95.8,40.6,42.8,45.7,48.3,64.6
Teton County,MT ,Low-Mod,95.8,41.5,44.7,48.6,51.7,73.5
Toole County,MT ,Low-Mod,95.8,46,49.3,53.1,55.5,69.7
Treasure County,MT ,Low,95.8,48.1,52.3,57,60.3,86.1
Valley County,MT ,Low,95.8,45.9,48.8,53,56.2,72.6
Wheatland County,MT ,Mod-High,95.8,35.7,37.7,41.4,44.5,66.7
Wibaux County,MT ,Low-Mod,95.8,28.3,30,32.5,34.5,56
Yellowstone County,MT ,Low,95.8,51.3,54.6,59.2,61.4,86.6
Adams County,NE ,Low-Mod,90.5,41.8,44.7,48.6,50.8,66.3
Antelope County,NE ,Low,90.5,36.9,39.5,43.3,45.9,61.8
Arthur County,NE ,Low,90.5,19.4,20.5,23.2,25.1,47.5
Banner County,NE ,Low,90.5,32.2,34.8,37,37.8,40.8
Blaine County,NE ,Low,90.5,26.2,27.9,29.4,30.3,31.2
Boone County,NE ,Low,90.5,48.8,51.9,56.9,60.8,78.7
Box Butte County,NE ,Low-Mod,90.5,33.6,36,39.9,42.1,52.8
Boyd County,NE ,Low,90.5,34.9,36.6,39.6,41.3,50.4
Brown County,NE ,Low,90.5,36.7,38.6,41.5,44.7,56.4
Buffalo County,NE ,Low-Mod,90.5,41.4,44.4,47.4,48.3,52.9
Burt County,NE ,Low-Mod,90.5,58.3,61.7,65.8,68.1,85.6
Butler County,NE ,Low,90.5,51,54,58.5,61.5,80.6
Cass County,NE ,Low,90.5,61.1,64.7,69.2,71,91.7
Cedar County,NE ,Low,90.5,40.6,43.4,48,51.7,69.9
Chase County,NE ,Low,90.5,33.3,35.6,39,41.6,49.5
Cherry County,NE ,Low,90.5,34.4,37,40,42.4,65.2
Cheyenne County,NE ,Low,90.5,42.7,45.3,49.4,52.5,78.5
Clay County,NE ,Low,90.5,41.3,44.3,48.9,52.2,76.8
Colfax County,NE ,Mod-High,90.5,47.1,51.6,57.7,61.4,75.8
Cuming County,NE ,Low,90.5,52.8,56.5,60.8,62.9,68.7
Custer County,NE ,Low,90.5,37.8,40.3,44.4,47.4,69.6
Dakota County,NE ,High,90.5,63.5,69.6,77.8,81.8,91
Dawes County,NE ,Low,90.5,38.3,40.1,41.8,42.4,57.5
Dawson County,NE ,High,90.5,48.3,52.6,57.5,59.1,56
Deuel County,NE ,Low,90.5,34.4,36.1,39.1,41.9,65.2
Dixon County,NE ,Low-Mod,90.5,43.5,46.9,51,54.2,60.3
Dodge County,NE ,Mod-High,90.5,53.5,57.3,61.5,63.1,74.2
Douglas County,NE ,Low-Mod,90.5,65.6,70.9,75.3,76.1,91.6
Dundy County,NE ,Low-Mod,90.5,38.9,40.7,43.4,45.4,67.5
Fillmore County,NE ,Low,90.5,51.9,54.8,58.3,61,85.8
Franklin County,NE ,Low,90.5,38.4,40.8,43.9,45.4,52.9
Frontier County,NE ,Low,90.5,27.3,28.8,30.8,32.6,40.6
Furnas County,NE ,Low,90.5,44.1,46.8,50.1,53,70.4
Gage County,NE ,Low,90.5,44.5,47.2,50.7,52,72.7
Garden County,NE ,Low,90.5,45.3,47.6,51,53.5,72.7
Garfield County,NE ,Low,90.5,29.9,31.5,33.5,35.1,45.9
Gosper County,NE ,Low,90.5,39.6,41.9,45,47.8,55.4
Grant County,NE ,Low,90.5,20.7,22.6,24.1,25.2,28.2
Greeley County,NE ,Low,90.5,40.3,43.1,47,49.9,59.3
Hall County,NE ,Mod-High,90.5,48.5,52.6,57.2,59.3,69.3
Hamilton County,NE ,Low,90.5,45.9,49.2,52.9,54.5,74.6
Harlan County,NE ,Low,90.5,39.9,41.9,45.6,47.2,63.7
Hayes County,NE ,Low,90.5,25.5,27.7,29.6,31.2,32.9
Hitchcock County,NE ,Low,90.5,33.7,35.6,38.9,42.1,60.6
Holt County,NE ,Low,90.5,42.4,45.5,49.8,52.4,67
Hooker County,NE ,Low,90.5,41.9,44.4,48.1,50.8,71.1
Howard County,NE ,Low,90.5,42,44.7,48.7,51.6,72.3
Jefferson County,NE ,Low,90.5,55,58.1,62.7,65.5,85.5
Johnson County,NE ,Mod-High,90.5,54.2,57,60.2,62.1,76.8
Kearney County,NE ,Low,90.5,46.7,49.9,53.7,55.5,70.2
Keith County,NE ,Low,90.5,37.5,39.7,42.3,44,53.7
Keya Paha County,NE ,Low,90.5,27.9,29.1,31,33.2,42.6
Kimball County,NE ,Mod-High,90.5,34.8,37,40.1,42.2,61.4
Knox County,NE ,Low-Mod,90.5,48.8,52,56.8,60.1,65.5
Lancaster County,NE ,Low-Mod,90.5,66.1,70.4,74.1,74.6,94.6
Lincoln County,NE ,Low-Mod,90.5,32.9,35,37.9,39.6,52.4
Logan County,NE ,Low,90.5,21.9,23.2,25.4,26.9,44.4
Loup County,NE ,Low,90.5,29.7,31.5,34.3,35.2,42.5
Madison County,NE ,Mod-High,90.5,45.4,49,54,56.7,79.1
McPherson County,NE ,Low,90.5,14.4,14.8,15.7,17.3,31.9
Merrick County,NE ,Low,90.5,43.2,45.9,49.3,51.5,73.7
Morrill County,NE ,Low-Mod,90.5,35.3,37.3,40.7,43.1,60.4
Nance County,NE ,Low,90.5,28.6,30.3,32.8,35.1,44.7
Nemaha County,NE ,Low,90.5,49.8,53.2,56.9,58.3,77.1
Nuckolls County,NE ,Low,90.5,49.6,52.2,56,59.4,79.6
Otoe County,NE ,Low,90.5,55.7,59.5,63.9,65.7,84
Pawnee County,NE ,Low,90.5,43.1,46,50.1,52.3,66.5
Perkins County,NE ,Low,90.5,40.6,43.4,47.8,51.4,69
Phelps County,NE ,Low,90.5,39.5,42.1,45.8,48,64.7
Pierce County,NE ,Low,90.5,37,39.5,43.7,47,66.3
Platte County,NE ,Low-Mod,90.5,46.5,50.2,55.3,58.4,68.1
Polk County,NE ,Low,90.5,41.3,43.6,47.1,50.1,64.9
Red Willow County,NE ,Low,90.5,36.8,39.2,42.4,44.6,60.5
Richardson County,NE ,Low,90.5,51.7,54.8,58.8,61.1,76.3
Rock County,NE ,Low,90.5,36.8,39.2,42,43.6,48.9
Saline County,NE ,Mod-High,90.5,52.1,56,60.5,61.9,83.4
Sarpy County,NE ,Low,90.5,65.1,70,74.9,75.6,93.7
Saunders County,NE ,Low,90.5,52,55.5,59.6,61.3,76.9
Scotts Bluff County,NE ,Mod-High,90.5,41.2,44.1,48,49.9,61.3
Seward County,NE ,Low,90.5,50,53.1,56.6,58.4,90.6
Sheridan County,NE ,Mod-High,90.5,31.7,33.8,36.2,38.1,46.3
Sherman County,NE ,Low,90.5,39.3,41.4,44.8,46.9,61.4
Sioux County,NE ,Low,90.5,24.7,25.9,27.4,28.6,37.4
Stanton County,NE ,Low,90.5,28.4,30.3,33.1,35.2,48.4
Thayer County,NE ,Low,90.5,47.6,50.7,55.1,58.2,78.4
Thomas County,NE ,Low,90.5,24.7,26.1,28.7,30.1,52.4
Thurston County,NE ,High,90.5,73,81.6,90.3,91.7,95
Valley County,NE ,Low,90.5,32.8,34.7,37.8,40,50.5
Washington County,NE ,Low,90.5,55.8,59.1,63.3,65.6,84
Wayne County,NE ,Low,90.5,41.2,43.5,45.9,46.1,57.9
Webster County,NE ,Low,90.5,38.3,40.5,44.2,46.7,67.2
Wheeler County,NE ,Low,90.5,31.2,33,34.9,36.7,43
York County,NE ,Low,90.5,51.8,55.3,59.8,62.4,80.3
Carson City,NV ,High,94.9,63.6,67.4,72.2,74,94.5
Churchill County,NV ,Mod-High,94.9,53.3,57.1,62.3,64.5,78.5
Clark County,NV ,Mod-High,94.9,56.9,60.6,65.3,66.9,79.1
Douglas County,NV ,Low,94.9,50.8,52.6,55.4,57,71.6
Elko County,NV ,Mod-High,94.9,41.8,45.2,50,52.5,79.4
Esmeralda County,NV ,Mod-High,94.9,40.9,42.3,45,45.3,42.3
Eureka County,NV ,Low,94.9,27.2,28.4,31.6,34.3,49.7
Humboldt County,NV ,Mod-High,94.9,41.5,44.6,49.8,52.6,76.6
Lander County,NV ,High,94.9,40.1,43.4,48,50.3,58.9
Lincoln County,NV ,Low-Mod,94.9,38.3,40.4,43.2,44.7,57.3
Lyon County,NV ,Mod-High,94.9,41.5,44,47.4,49.5,60.6
Mineral County,NV ,High,94.9,57.6,61.3,65.8,68.6,83.1
Nye County,NV ,Mod-High,94.9,46.1,48.1,50.9,52.5,70
Pershing County,NV ,High,94.9,35.9,37.6,40.1,41.1,49.8
Storey County,NV ,Low,94.9,22,22.5,23.4,23.5,25
Washoe County,NV ,Mod-High,94.9,63.7,67.6,71.9,73.2,87.7
White Pine County,NV ,Low-Mod,94.9,52.9,55.9,60.2,62.9,81.2
Belknap County,NH ,Low,94.1,60.7,63.5,67,68.9,86
Carroll County,NH ,Low,94.1,71.2,73.9,77.1,78.3,87.8
Cheshire County,NH ,Low,94.1,61.1,63.9,67.7,68.7,89.3
Coos County,NH ,Mod-High,94.1,65.7,68.4,71.1,72.4,85.5
Grafton County,NH ,Low,94.1,74.2,77.3,80.5,80.9,95
Hillsborough County,NH ,Low,94.1,62.3,65.7,69.7,71.1,84.8
Merrimack County,NH ,Low,94.1,68,71.2,75.1,76.8,95
Rockingham County,NH ,Low,94.1,65.8,68.9,72.6,73.8,88.7
Strafford County,NH ,Low,94.1,61.9,64.8,67.8,68.4,92.5
Sullivan County,NH ,Low,94.1,62.3,65.3,68.9,70.7,85.5
Atlantic County,NJ ,High,93.9,66.1,69.8,74.2,76,85.5
Bergen County,NJ ,Low,93.9,76.6,80.9,84.6,85.7,88.2
Burlington County,NJ ,Low,93.9,73.7,77.7,81.1,82.6,91
Camden County,NJ ,Mod-High,93.9,68.1,72.5,76.1,77.4,83.4
Cape May County,NJ ,Low-Mod,93.9,73,76.3,80.5,82.3,89.5
Cumberland County,NJ ,High,93.9,51.7,55,59.4,61,68
Essex County,NJ ,High,93.9,71.4,76.4,80.8,81.8,84.2
Gloucester County,NJ ,Low,93.9,61.7,65.1,68.4,69.8,78.7
Hudson County,NJ ,Mod-High,93.9,76.7,82.4,85.7,85.7,80.5
Hunterdon County,NJ ,Low,93.9,70.1,73.2,76.4,78.8,85
Mercer County,NJ ,Mod-High,93.9,70.1,74.3,77.8,78,82.3
Middlesex County,NJ ,Low-Mod,93.9,72.8,77.2,80.7,81.4,84.9
Monmouth County,NJ ,Low,93.9,67.5,71,75.1,77.7,84.1
Morris County,NJ ,Low,93.9,76.9,80.9,84.4,86.3,90.5
Ocean County,NJ ,Low-Mod,93.9,53.8,58,63.3,67,80
Passaic County,NJ ,High,93.9,69.3,74.3,79.7,81,84.3
Salem County,NJ ,Mod-High,93.9,54.8,58.1,62,63.8,74.9
Somerset County,NJ ,Low,93.9,75.3,79.3,82.5,84.4,86.4
Sussex County,NJ ,Low,93.9,62.3,65.2,68.7,71.1,82.2
Union County,NJ ,Mod-High,93.9,70.5,75.2,79.6,80.4,77.9
Warren County,NJ ,Low,93.9,67.4,70.6,74.4,76.9,95
Bernalillo County,NM ,Mod-High,97,69.3,73.3,77.2,78.1,89.9
Catron County,NM ,Low-Mod,97,45.7,46.9,48.8,50.4,57.7
Chaves County,NM ,High,97,44.4,47.5,52.1,54.4,75.1
Cibola County,NM ,High,97,69.5,73.9,78.2,78.6,92.3
Colfax County,NM ,High,97,61.4,64.4,68.3,70.1,79.3
Curry County,NM ,High,97,52.8,57.3,63.2,66.6,75.5
De Baca County,NM ,Mod-High,97,50.2,52.7,58.5,62.6,73.3
Doña Ana County,NM ,High,97,73.9,78.8,83.9,84.8,95
Eddy County,NM ,Mod-High,97,46.6,50.3,55.2,57.8,74.5
Grant County,NM ,High,97,68.5,72.2,75.9,77.2,88.1
Guadalupe County,NM ,High,97,69.1,72.7,76.5,76.8,85.1
Harding County,NM ,Low-Mod,97,59,60.7,63.5,62,61.6
Hidalgo County,NM ,High,97,58.3,62.2,66.3,67.2,72.6
Lea County,NM ,High,97,43.9,47.7,53,55,71.5
Lincoln County,NM ,Low-Mod,97,58.1,61,64.8,67.2,81.5
Los Alamos County,NM ,Low,97,83.5,88.1,91.4,91.4,95
Luna County,NM ,High,97,73.6,79.6,85.8,87.1,94.4
McKinley County,NM ,High,97,86.1,92,95,93.8,95
Mora County,NM ,High,97,64.8,67.8,70.2,70.2,76.1
Otero County,NM ,High,97,60.3,64.6,69.4,71.1,83.9
Quay County,NM ,High,97,49.5,52.3,55.9,58.7,73.6
Rio Arriba County,NM ,N/A,97,78,82.9,87.8,88.3,92.8
Roosevelt County,NM ,High,97,38,40.8,44.5,46.1,59.5
San Juan County,NM ,High,97,73.5,78.4,84.4,84.5,95
San Miguel County,NM ,High,97,67,70.2,72.6,72.5,80.3
Sandoval County,NM ,Low-Mod,97,70.9,74.9,79,79.9,95
Santa Fe County,NM ,Mod-High,97,80.1,83.5,86.8,87.9,95
Sierra County,NM ,High,97,65.8,69.1,72.8,74.1,80.5
Socorro County,NM ,High,97,68,72.1,76.4,77.8,81.9
Taos County,NM ,High,97,81.6,85.3,88.4,89.1,95
Torrance County,NM ,Mod-High,97,48,50.6,53.6,54.9,69.2
Union County,NM ,Mod-High,97,44.1,46.3,49.9,51.4,74
Valencia County,NM ,High,97,58.8,62.3,66.9,68.4,80.7
Albany County,NY ,Low-Mod,97.6,74,77.9,80.3,80.5,92.7
Allegany County,NY ,Mod-High,97.6,43.9,46.4,48.9,49.8,67
Bronx County,NY ,High,97.6,73.7,79.3,85,85.8,85.7
Broome County,NY ,Mod-High,97.6,63.2,66.7,70.1,71.3,87.1
Cattaraugus County,NY ,Mod-High,97.6,55.9,59.1,63,64.6,81.8
Cayuga County,NY ,Mod-High,97.6,58.8,61.9,65.1,66.1,79.3
Chautauqua County,NY ,Mod-High,97.6,58.8,62.1,65.5,66.9,83.1
Chemung County,NY ,Low-Mod,97.6,59.5,63,66.6,67.6,83.1
Chenango County,NY ,Mod-High,97.6,60.7,64.1,68.1,70.1,84.8
Clinton County,NY ,Mod-High,97.6,72.1,75.8,78.5,78.7,95
Columbia County,NY ,Low-Mod,97.6,73.6,76.9,79.8,80.7,88
Cortland County,NY ,Low-Mod,97.6,58.9,62.2,65.1,65.9,87
Delaware County,NY ,Mod-High,97.6,56.9,59.2,62,63.1,74
Dutchess County,NY ,Low-Mod,97.6,69.4,72.7,76,76.9,89
Erie County,NY ,Low-Mod,97.6,69.4,73.4,76.6,77.7,87.9
Essex County,NY ,Low-Mod,97.6,71.1,74.1,76.4,76.9,84.7
Franklin County,NY ,Mod-High,97.6,68.4,71.8,75.5,76.1,95
Fulton County,NY ,Mod-High,97.6,53.9,56.8,60.7,62.5,76.7
Genesee County,NY ,Low,97.6,59.6,62.8,66.7,68.7,86.2
Greene County,NY ,Low-Mod,97.6,62,64.6,67.6,68.3,81.1
Hamilton County,NY ,Low-Mod,97.6,82.7,85.6,87.9,90.7,95
